Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Southern-Italian,Japanese Fusion,Korean,Indonesian,Middle Eastern,Central-Italian,Diner,Steakhouse,Pizza,Southwestern,Wine Bar,Cajun & Creole,Bar,Latin,Seafood,Scottish,Mexican,Singaporean,Central European,Spanish,Deli,Cafe,Barbecue,Gastropub,Italian,Mongolian,Vietnamese,Thai,International,French,Contemporary,Polynesian,German,Afghani,Street Food,Lebanese,Australian,Cuban,Pub,Soups,Fusion,Moroccan,Caribbean,Dining bars,Sushi,Sri Lankan,Portuguese,Malaysian,Asian,British,Mediterranean,Turkish,Healthy,Indian,Irish,Pakistani,Arabic,Sicilian,Japanese,African,Fast Food,Beer restaurants,Fujian,Chinese,European,American,Grill,Dog Friendly,Gift Cards Available,Serves Alcohol,Digital Payments,Accepts Credit Cards,Buffet,Accepts Mastercard,BYOB,Live Music,Family style,Table Service,Takeout,Wheelchair Accessible,Wine and Beer,Full Bar,Accepts Discover,Cash Only,Free off-street parking,Valet Parking,Private Dining,Delivery,Accepts Visa,Television,Highchairs Available,Validated Parking,Reservations,Jazz Bar,Non-smoking restaurants,Free Wifi,Accepts American Express,Street Parking,Beach,Parking Available,Outdoor Seating,Waterfront,Seating,Halal,Vegetarian Friendly,Kosher,Nonveg,Vegan Options,Gluten Free Options,Drinks,Late Night,Lunch,Breakfast,Brunch,Dinner,Budget,Low,Medium,High,cluster
Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka","Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200","[' 500 ', '  1,400']","American, Gastropub, Sri Lankan",Vegetarian Friendly,"Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Parking Available, Television, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Full Bar, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d7931108-Reviews-Playtrix_Sports_Bar_and_Cafe-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,Low,1,0,0,3
FLOW,"200 Union Place Hilton Colombo Residences, Colombo 00200 Sri Lanka","Union Place Hilton Colombo Residences, Colombo 00200 ","[' 1,000 ', '  30,500']",Sri Lankan,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Reservations, Buffet, Seating, Parking Available, Street Parking, Validated Parking, Valet Parking, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Private Dining, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8405377-Reviews-FLOW-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,Medium,0,1,0,3
Oak Ray Flower Drum Restaurant,"38 Thurstan Road Colombo 03, Colombo 00300 Sri Lanka","Thurstan Road , Colombo 00300 ","[' 989 ', '  2,967']","Chinese, Asian, Fusion",Vegetarian Friendly,"Lunch, Dinner","Parking Available, Street Parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Delivery, Takeout, Private Dining, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d817490-Reviews-Oak_Ray_Flower_Drum_Restaurant-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,Low,1,0,0,3
Cafe Kumbuk,"3/1 Thambiyah Avenue, Independence Avenue, Colombo 00700 Sri Lanka","Thambiyah Avenue, Independence Avenue, Colombo 00700 ","[' 8 ', '  500']","Cafe, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks","Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Highchairs Available, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Takeout",https://www.tripadvisor.com/Restaurant_Review-g293962-d10034099-Reviews-Cafe_Kumbuk-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,Low,1,0,0,3
Sea Fish Restaurant,"15 Sir Chittampalam A Gardiner Mawatha Fort, Colombo Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo ","[' 1000 ', '  30 000']","International, Sri Lankan, Seafood, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Drinks, Dinner, Brunch","Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133606-Reviews-Sea_Fish_Restaurant-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,Medium,0,1,0,3
Isso,"2 Sulaiman Terrace Green Path, Colombo 00500 Sri Lanka","Sulaiman Terrace Green Path, Colombo 00500","[' 7 ', '  10']","Seafood, Asian, Sri Lankan",Nonveg,"Lunch, Dinner, Brunch, Late Night","Delivery, Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10157533-Reviews-Isso-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,Low,1,0,0,3
Cafe Shaze,"56 Horton Pl, Colombo 00700 Sri Lanka","Horton Pl, Colombo 00700","[' 6 ', '  9']","American, European","Vegetarian Friendly, Halal, Vegan Options, Gluten Free Options","Dinner, Brunch, Breakfast, Drinks","Delivery, Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d6725690-Reviews-Cafe_Shaze-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,Low,1,0,0,3
Dolce Italia,"5 Skelton Road, Colombo 00400 Sri Lanka","Skelton Road, Colombo 00400","[' 1000 ', '  30 000']","Italian, Cafe","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Delivery, Takeout, Seating, Parking Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Outdoor Seating, Free off-street parking, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7686514-Reviews-Dolce_Italia-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,Medium,0,1,0,3
Upali's,"65 C W W Kannangara Mawatha, Colombo Sri Lanka","C W W Kannangara Mawatha, Colombo","[' 989 ', '  2,967']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch","Outdoor Seating, Valet Parking, Takeout, Reservations, Private Dining, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d5986538-Reviews-Upali_s-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,Low,1,0,0,3
Indian Summer Colombo,"7 42, Horton Place, Colombo Cinamon Gardens, Colombo 00700 Sri Lanka","Horton Place, Colombo Cinamon Gardens, Colombo 00700","[' 15 ', '  20']","Indian, Asian, Fusion","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch","Wheelchair Accessible, Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7346214-Reviews-Indian_Summer_Colombo-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,Low,1,0,0,3
