Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Budget
Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka","Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200","[' 500 ', '  1,400']","American, Gastropub, Sri Lankan",Vegetarian Friendly,"Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Parking Available, Television, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Full Bar, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d7931108-Reviews-Playtrix_Sports_Bar_and_Cafe-Colombo_Western_Province.html,Low
King of the Mambo,"Galle Face Hotel, Colombo 00300 Sri Lanka","Galle Face Hotel, Colombo 00300","[' 2,000 ', '  30,000']","Seafood, International, Grill, Cuban, Latin, Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch","Reservations, Seating, Validated Parking, Serves Alcohol, Full Bar, Table Service, Live Music, Waterfront",https://www.tripadvisor.com/Restaurant_Review-g293962-d15247064-Reviews-King_of_the_Mambo-Colombo_Western_Province.html,Medium
Sapphyr Lounge,"02 No 01 Galle Face Shangri-La Hotel Colombo, Colombo 00200 Sri Lanka","Galle Face Shangri-La Hotel Colombo, Colombo 00200","[' 2,000 ', '  5,000']","Cafe, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Drinks","Reservations, Seating, Parking Available, Validated Parking, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking",https://www.tripadvisor.com/Restaurant_Review-g293962-d15643402-Reviews-Sapphyr_Lounge-Colombo_Western_Province.html,Low
Shang Palace,"02 1 Galle Face Shangri-La Hotel, Colombo 00200 Sri Lanka","Galle Face Shangri-La Hotel, Colombo 00200 ","[' 2,000 ', '  30,000']",Chinese,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13148335-Reviews-Shang_Palace-Colombo_Western_Province.html,Medium
"The Ocean, The Kingsbury","48 Janadhipathi Mawatha,, Colombo Sri Lanka","Janadhipathi Mawatha,, Colombo","[' 500 ', '  30,000']","Seafood, Asian, Sri Lankan",Gluten Free Options,"Lunch, Dinner, Late Night","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Waterfront, Gift Cards Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d3834786-Reviews-The_Ocean_The_Kingsbury-Colombo_Western_Province.html,Medium
FLOW,"200 Union Place Hilton Colombo Residences, Colombo 00200 Sri Lanka","Union Place Hilton Colombo Residences, Colombo 00200 ","[' 1,000 ', '  30,500']",Sri Lankan,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Reservations, Buffet, Seating, Parking Available, Street Parking, Validated Parking, Valet Parking, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Private Dining, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8405377-Reviews-FLOW-Colombo_Western_Province.html,Medium
Kings Steakbar,"Janadhipathi Mawatha Kingsbury Hotel, Colombo Sri Lanka","Janadhipathi Mawatha Kingsbury Hotel, Colombo ","[' 2,000 ', '  30,000']","Bar, European","Gluten Free Options, Vegetarian Friendly","Lunch, Dinner","Reservations, Seating, 有泊車位, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d10798544-Reviews-Kings_Steakbar-Colombo_Western_Province.html,Medium
L.A.B,"Hilton Colombo 2 Sir Chittampalam a Gardiner MW, Colombo 00200 Sri Lanka","Hilton Colombo 2 Sir Chittampalam a Gardiner MW, Colombo 00200","[' 989 ', '  118,694']","Bar, Cafe, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks, Breakfast","Seating, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Reservations, Outdoor Seating, Highchairs Available, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d11769457-Reviews-L_A_B-Colombo_Western_Province.html,High
Graze Kitchen,"Number 2 Sir Chittampalam A Gardiner Mawatha Hilton Colombo, Colombo 00200 Sri Lanka","Sir Chittampalam A Gardiner Mawatha Hilton Colombo, Colombo 00200","[' 3,363 ', '  5,935']","Italian, Chinese, Indian, International, Sushi, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d11667290-Reviews-Graze_Kitchen-Colombo_Western_Province.html,Medium
Plus Nine Four,"35 D S Fonseka Road, Colombo 00500 Sri Lanka","D S Fonseka Road, Colombo 00500 ","[' 200 ', '  1,500']","Cafe, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch","Takeout, Outdoor Seating, Seating, Table Service, Reservations",https://www.tripadvisor.com/Restaurant_Review-g293962-d14148973-Reviews-Plus_Nine_Four-Colombo_Western_Province.html,Low
